Record_ID,Sale_Date,Year,Quarter,Month_Name,Month_Num,Therapeutic_Area,Product_Name,Formulation,Region,Sales_Channel,Pipeline_Stage,Sales_Rep,Customer_ID,Units_Sold,Unit_Price_INR,Discount_Pct,Gross_Revenue_INR,Discount_Amount_INR,Net_Revenue_INR,COGS_INR,Gross_Profit_INR,Gross_Margin_Pct,RnD_Spend_INR,Marketing_Spend_INR,Clinical_Trial_Spend_INR,Patient_Count,Adverse_Events,Compliance_Rate_Pct
LS00001,2023-05-17,2023,Q2,May,5,Respiratory,COPD Drug K,Inhaler,Karnataka,Government Hospital,Market,Rep_048,CUST_0071,124,2586.4,0.026,320713.35,8338.55,312374.8,111755.29,200619.51,64.22,59631.62,34064.24,7240.31,817,6,78.05
LS00002,2024-07-08,2024,Q3,July,7,Oncology,Immunotherapy Drug A,Tablet,Delhi NCR,Corporate Hospital,Phase 1,Rep_027,CUST_0057,311,11668.22,0.217,3628814.91,787452.84,2841362.07,1028896.33,1812465.74,63.79,399937.94,262148.16,135780.55,1813,48,80.75
LS00003,2023-06-26,2023,Q2,June,6,Infectious Disease,Antiviral Drug G,Tablet,Karnataka,Online,Phase 1,Rep_023,CUST_0155,423,2675.41,0.115,1131697.97,130145.27,1001552.7,210284.28,791268.42,79.0,240270.89,57969.89,49394.4,3012,73,77.0
LS00004,2022-07-26,2022,Q3,July,7,Oncology,Immunotherapy Drug A,Tablet,Delhi NCR,Online,Market,Rep_006,CUST_0060,204,11667.4,0.159,2380149.81,378443.82,2001705.99,535575.9,1466130.09,73.24,336533.87,142022.45,93475.23,634,19,88.51
LS00005,2023-07-07,2023,Q3,July,7,Respiratory,Asthma Drug L,Inhaler,Delhi NCR,Retail Pharmacy,Phase 1,Rep_030,CUST_0098,483,2188.2,0.139,1056900.53,146909.17,909991.36,313316.78,596674.58,65.57,208907.4,116114.89,39043.0,312,5,82.43
LS00006,2024-03-21,2024,Q1,March,3,Cardiology,BP Drug D,Capsule,West Bengal,Retail Pharmacy,Approved,Rep_042,CUST_0128,462,3148.22,0.115,1454477.63,167264.93,1287212.7,313527.99,973684.71,75.64,195735.59,136620.65,59564.69,4838,109,95.34
LS00007,2022-07-06,2022,Q3,July,7,Neurology,Parkinson Drug F,Patch,Delhi NCR,Retail Pharmacy,Market,Rep_033,CUST_0127,396,6221.77,0.027,2463821.46,66523.18,2397298.28,792515.77,1604782.51,66.94,534526.36,221069.25,63175.45,3176,76,97.9
LS00008,2023-07-01,2023,Q3,July,7,Neurology,Alzheimer Drug E,Tablet,Maharashtra,Government Hospital,Market,Rep_044,CUST_0138,403,9901.74,0.028,3990401.67,111731.25,3878670.42,1102875.34,2775795.08,71.57,694220.26,563887.28,417287.9,2207,64,91.81
LS00009,2022-11-10,2022,Q4,November,11,Oncology,Targeted Therapy B,Injection,Gujarat,Corporate Hospital,Phase 3,Rep_039,CUST_0051,201,19417.56,0.135,3902929.22,526895.44,3376033.78,1238566.71,2137467.07,63.31,637888.0,168994.76,176956.86,209,0,96.16
LS00010,2022-06-25,2022,Q2,June,6,Cardiology,BP Drug D,Capsule,Maharashtra,Retail Pharmacy,Market,Rep_037,CUST_0021,384,2788.23,0.017,1070681.08,18201.58,1052479.5,381570.67,670908.83,63.75,231080.79,66136.91,71072.09,4553,42,78.89
LS00011,2023-02-16,2023,Q1,February,2,Infectious Disease,Antiviral Drug G,Tablet,Delhi NCR,Corporate Hospital,Market,Rep_049,CUST_0187,375,2924.9,0.249,1096836.06,273112.18,823723.88,276747.12,546976.76,66.4,145760.42,83820.15,26441.88,1890,4,80.79
LS00012,2022-05-26,2022,Q2,May,5,Diabetes,GLP-1 Drug I,Injection,Delhi NCR,Corporate Hospital,Market,Rep_015,CUST_0002,372,6755.65,0.057,2513102.09,143246.82,2369855.27,941545.4,1428309.87,60.27,549220.13,135284.93,103800.76,4026,27,86.02
LS00013,2023-01-25,2023,Q1,January,1,Diabetes,Insulin Analog J,Pen,Rajasthan,Retail Pharmacy,Phase 3,Rep_031,CUST_0105,58,2988.87,0.108,173354.43,18722.28,154632.15,43553.52,111078.63,71.83,27944.07,19005.46,13505.02,856,1,82.47
LS00014,2024-07-07,2024,Q3,July,7,Oncology,Targeted Therapy B,Injection,Delhi NCR,Retail Pharmacy,Market,Rep_013,CUST_0138,81,17578.16,0.07,1423831.03,99668.17,1324162.86,317737.58,1006425.28,76.0,317831.57,124885.87,140539.91,4558,25,73.32
